scheme,village,month,month_lab,period_recent,period_base,variable,mean_recent,mean_base,delta,pct_change,p_welch,hedges_g,ci_low,ci_high,n_recent,n_base
nearest1,Mandena,8,Aug,2018-2022,2003-2007,tmin_c,15.1851612903226,14.6838709677419,0.501290322580646,3.41388400702988,0.231770951746814,0.739649284883212,-0.170903225806451,1.12640322580645,5,5
nearest1,Mandena,8,Aug,2018-2022,2003-2007,rh_mean,84.8740325960009,85.1650037839233,-0.290971187922466,-0.341655815175802,0.763452250329462,-0.178990336790987,-1.89527150320397,1.33799046525651,5,5
nearest1,Mandena,8,Aug,2018-2022,2003-2007,vpd_kpa,0.370875682748614,0.357757506234787,0.0131181765138267,3.66677883348662,0.529829860817829,0.377976995952834,-0.02171837792697,0.0457448841869215,5,5
nearest1,Mandena,8,Aug,2018-2022,2003-2007,ssrd_MJ_day,7.80000000000002e-06,1.24000000000001e-05,-4.60000000000007e-06,-37.0967741935487,0.496071227853885,-0.416526492107623,-1.3995e-05,8.19999999999989e-06,5,5
nearest1,Mandena,8,Aug,2018-2022,2003-2007,wbgt28_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,8,Aug,2018-2022,2003-2007,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,8,Aug,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,9,Sep,2018-2022,2013-2017,tmean_c,19.3605,19.5473888888889,-0.186888888888888,-0.95608109068275,0.639236585303869,-0.278291522462772,-0.895278472222222,0.490834027777781,5,5
nearest1,Mandena,9,Sep,2018-2022,2013-2017,tmax_c,23.872,24.224,-0.352,-1.45310435931308,0.503782265857816,-0.399872277755915,-1.2079,0.514449999999999,5,5
nearest1,Mandena,9,Sep,2018-2022,2013-2017,tmin_c,15.5766666666667,15.5713333333333,0.00533333333333275,0.0342509740120697,0.987626637055152,0.00922679193448199,-0.592566666666666,0.569266666666666,5,5
nearest1,Mandena,9,Sep,2018-2022,2013-2017,rh_mean,83.175047973605,82.0214883574092,1.15355961619579,1.40641146521159,0.343035215219654,0.582294377833493,-0.539632282609802,3.42876454786256,5,5
nearest1,Mandena,9,Sep,2018-2022,2013-2017,vpd_kpa,0.434614120576122,0.475171536717199,-0.040557416141077,-8.53532103822435,0.330394332987334,-0.600888227382938,-0.111050365649296,0.0225816033829123,5,5
nearest1,Mandena,9,Sep,2018-2022,2013-2017,ssrd_MJ_day,-4.00000000000036e-07,6.59999999999992e-06,-6.99999999999996e-06,-106.060606060607,0.281953822853606,-0.671892966377295,-1.78e-05,2.80000000000011e-06,5,5
nearest1,Mandena,9,Sep,2018-2022,2013-2017,wbgt28_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,9,Sep,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,9,Sep,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,9,Sep,2018-2022,2008-2012,tmean_c,19.3605,19.5333055555556,-0.172805555555556,-0.884671337700993,0.594213396113371,-0.322259520191147,-0.752923611111112,0.317109027777777,5,5
nearest1,Mandena,9,Sep,2018-2022,2008-2012,tmax_c,23.872,24.196,-0.323999999999998,-1.3390643081501,0.426082255806421,-0.494382104432998,-1.02121666666666,0.326650000000001,5,5
nearest1,Mandena,9,Sep,2018-2022,2008-2012,tmin_c,15.5766666666667,15.6886666666667,-0.112,-0.713891131602431,0.746780222026102,-0.19287623179346,-0.723983333333332,0.413849999999999,5,5
nearest1,Mandena,9,Sep,2018-2022,2008-2012,rh_mean,83.175047973605,83.6706775476647,-0.49562957405972,-0.59235754817137,0.544376005149221,-0.362303916008207,-1.80346465129303,0.915128343786204,5,5
nearest1,Mandena,9,Sep,2018-2022,2008-2012,vpd_kpa,0.434614120576122,0.436017405698816,-0.00140328512269483,-0.321841537597736,0.955335893671878,-0.0331137322278378,-0.0405556597202845,0.0425197329399615,5,5
nearest1,Mandena,9,Sep,2018-2022,2008-2012,ssrd_MJ_day,-4.00000000000036e-07,-2.8e-06,2.39999999999997e-06,-85.7142857142845,0.681766625876827,0.248249084296075,-7.59999999999994e-06,1.16e-05,5,5
nearest1,Mandena,9,Sep,2018-2022,2008-2012,wbgt28_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,9,Sep,2018-2022,2008-2012,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,9,Sep,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,9,Sep,2018-2022,2003-2007,tmean_c,19.3605,19.1124166666667,0.248083333333334,1.29802179211595,0.471184384907968,0.436509735884279,-0.350882638888889,0.771995138888889,5,5
nearest1,Mandena,9,Sep,2018-2022,2003-2007,tmax_c,23.872,23.498,0.373999999999999,1.59162481913354,0.433494982308179,0.472138317121165,-0.480416666666668,1.16258333333333,5,5
nearest1,Mandena,9,Sep,2018-2022,2003-2007,tmin_c,15.5766666666667,15.446,0.130666666666666,0.845957961068668,0.711405454228061,0.220855724791734,-0.497233333333333,0.688633333333333,5,5
nearest1,Mandena,9,Sep,2018-2022,2003-2007,rh_mean,83.175047973605,84.1581665294346,-0.98311855582962,-1.16817962697152,0.387612255056825,-0.525682722478467,-2.7965174508034,0.949640494389133,5,5
nearest1,Mandena,9,Sep,2018-2022,2003-2007,vpd_kpa,0.434614120576122,0.40457248436986,0.0300416362062618,7.42552629426914,0.415457174893071,0.494049354603351,-0.0309532223772979,0.0902940761571784,5,5
