scheme,village,month,month_lab,variable,slope_decade_lm,p_lm,tau_mk,p_mk,sens_slope_decade
nearest1,Mandena,5,May,tmin_c,0.107930638786179,0.104775515162974,0.16675090557357,0.108630932011922,
nearest1,Mandena,5,May,rh_mean,-0.255557620347521,0.159888682354583,-0.171717171717172,0.0982877170426008,
nearest1,Mandena,5,May,vpd_kpa,0.0122668018700516,0.0277312451255172,0.248484848484848,0.0165448916103852,
nearest1,Mandena,5,May,ssrd_MJ_day,9.76284584980219e-07,0.219769748051445,0.137932169502751,0.18644764337534,
nearest1,Mandena,5,May,wbgt28_h,0.0250329380764164,0.145426874811898,0.182070531949089,0.154306867201098,
nearest1,Mandena,5,May,wbgt31_h,0,,,,
nearest1,Mandena,5,May,hot35_h,0,,,,
nearest1,Mandena,6,Jun,tmean_c,0.168273678817158,0.00673379665852611,0.236363636363636,0.0226503961870909,
nearest1,Mandena,6,Jun,tmax_c,0.208063241106718,0.00812687254322134,0.238624995591065,0.0215012394780644,
nearest1,Mandena,6,Jun,tmin_c,0.12010101010101,0.0749851794486117,0.172814574867154,0.0962976368166898,
nearest1,Mandena,6,Jun,rh_mean,-0.166848063762157,0.401634777074447,-0.0505050505050505,0.631701273976089,
nearest1,Mandena,6,Jun,vpd_kpa,0.00801501099968467,0.154728470153213,0.119191919191919,0.252403318481302,
nearest1,Mandena,6,Jun,ssrd_MJ_day,-1.00790513833993e-06,0.219684158440526,-0.115737531735903,0.268725635707574,
nearest1,Mandena,6,Jun,wbgt28_h,0,,,,
nearest1,Mandena,6,Jun,wbgt31_h,0,,,,
nearest1,Mandena,6,Jun,hot35_h,0,,,,
nearest1,Mandena,7,Jul,tmean_c,0.135986796435605,0.0383753744164375,0.214141414141414,0.0390111301827943,
nearest1,Mandena,7,Jul,tmax_c,0.195652173913044,0.0142354279151174,0.246713978492457,0.0174384220313891,
nearest1,Mandena,7,Jul,tmin_c,0.0416337285902502,0.548551618076731,0.0404040404040404,0.702824503197456,
nearest1,Mandena,7,Jul,rh_mean,-0.192912053417532,0.325595082088486,-0.0808080808080808,0.439638823141008,
nearest1,Mandena,7,Jul,vpd_kpa,0.00827928158427889,0.12467804834611,0.149494949494949,0.150433769032183,
nearest1,Mandena,7,Jul,ssrd_MJ_day,-1.42160737812909e-06,0.171043606969734,-0.150102655047111,0.150225484169415,
nearest1,Mandena,7,Jul,wbgt28_h,0,,,,
nearest1,Mandena,7,Jul,wbgt31_h,0,,,,
nearest1,Mandena,7,Jul,hot35_h,0,,,,
nearest1,Mandena,8,Aug,tmean_c,0.216250867723519,0.00013713600552767,0.359777711419339,0.000514886939112062,
